1.0,South,*
2.0,West,*
3.0,Unknown Region,*
4.0,West,*
5.0,South,*
6.0,West,*
7.0,Unknown Region,*
8.0,West,*
9.0,Northeast,*
10.0,South,*
11.0,South,*
12.0,South,*
13.0,South,*
14.0,Unknown Region,*
15.0,West,*
16.0,West,*
17.0,Midwest,*
18.0,Midwest,*
19.0,Midwest,*
20.0,Midwest,*
21.0,South,*
22.0,South,*
23.0,Northeast,*
24.0,South,*
25.0,Northeast,*
26.0,Midwest,*
27.0,Midwest,*
28.0,South,*
29.0,Midwest,*
30.0,West,*
31.0,Midwest,*
32.0,West,*
33.0,Northeast,*
34.0,Northeast,*
35.0,West,*
36.0,Northeast,*
37.0,South,*
38.0,Midwest,*
39.0,Midwest,*
40.0,South,*
41.0,West,*
42.0,Northeast,*
43.0,Unknown Region,*
44.0,Northeast,*
45.0,South,*
46.0,Midwest,*
47.0,South,*
48.0,South,*
49.0,West,*
50.0,Northeast,*
51.0,South,*
52.0,Unknown Region,*
53.0,West,*
54.0,South,*
55.0,Midwest,*
56.0,West,*
